"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","3","RegressionSuite","Testing","com.crm.qa.testcases.FlightTestCases","com.crm.qa.testcases.FlightTestCases","setUp","setUp",""
"skipped","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","0","RegressionSuite","Testing","com.crm.qa.testcases.FlightTestCases","com.crm.qa.testcases.FlightTestCases","TC002_SelectFlightOption","TC002_SelectFlightOption",""
"skipped","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","8","RegressionSuite","Testing","com.crm.qa.testcases.SearchFlightTestCases","com.crm.qa.testcases.SearchFlightTestCases","TC001_VerifyHeaderContent","TC001_VerifyHeaderContent",""
"skipped","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","1","RegressionSuite","Testing","com.crm.qa.testcases.SearchFlightTestCases","com.crm.qa.testcases.SearchFlightTestCases","TC005_VerifyHeaderContent","TC005_VerifyHeaderContent",""
"skipped","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","3","RegressionSuite","Testing","com.crm.qa.testcases.SearchFlightTestCases","com.crm.qa.testcases.SearchFlightTestCases","TC003_VerifyHeaderContent","TC003_VerifyHeaderContent",""
"skipped","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","0","RegressionSuite","Testing","com.crm.qa.testcases.FlightTestCases","com.crm.qa.testcases.FlightTestCases","TC003_CheckifLogoisPresent","TC003_CheckifLogoisPresent",""
"skipped","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","5","RegressionSuite","Testing","com.crm.qa.testcases.FlightTestCases","com.crm.qa.testcases.FlightTestCases","TC004_SelectFlightOption","TC004_SelectFlightOption",""
"skipped","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","2","RegressionSuite","Testing","com.crm.qa.testcases.SearchFlightTestCases","com.crm.qa.testcases.SearchFlightTestCases","TC002_SearchFligh","TC002_SearchFligh",""
"skipped","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","6","RegressionSuite","Testing","com.crm.qa.testcases.FlightTestCases","com.crm.qa.testcases.FlightTestCases","TC001_CheckifLogoisPresent","TC001_CheckifLogoisPresent",""
"broken","Thu May 25 15:38:51 UTC 2023","Thu May 25 15:38:51 UTC 2023","0","RegressionSuite","Testing","com.crm.qa.testcases.FlightTestCases","com.crm.qa.testcases.FlightTestCases","tearDown","tearDown",""
